source,stem,status,normalised_src,unique,plain,n_segments,n_words,n_lines,emotions
12AngryMenTest.mp4,12AngryMenTest,ok,,evaluationoutput/video/12AngryMenTestV21(Post_EvaluationCode)_withUniqueSubtitles.mp4,evaluationoutput/video/12AngryMenTestV21(Post_EvaluationCode)_withoutUniqueSubtitles.mp4,48,339,46,"frustrated:27, neutral:21"
BBC(Tense).mp4,BBC_Tense,ok,,evaluationoutput/video/BBC_TenseV21(Post_EvaluationCode)_withUniqueSubtitles.mp4,evaluationoutput/video/BBC_TenseV21(Post_EvaluationCode)_withoutUniqueSubtitles.mp4,103,497,64,"frustrated:71, sad:32"
BreakingBad(Happy).mp4,BreakingBad_Happy,ok,outputs/normalised/BreakingBad(Happy)_norm.mp4,evaluationoutput/video/BreakingBad_HappyV21(Post_EvaluationCode)_withUniqueSubtitles.mp4,evaluationoutput/video/BreakingBad_HappyV21(Post_EvaluationCode)_withoutUniqueSubtitles.mp4,16,25,6,frustrated:16
BreakingBad2.mp4,BreakingBad2,ok,,evaluationoutput/video/BreakingBad2V21(Post_EvaluationCode)_withUniqueSubtitles.mp4,evaluationoutput/video/BreakingBad2V21(Post_EvaluationCode)_withoutUniqueSubtitles.mp4,36,166,40,"frustrated:31, neutral:5"
GreenBook(Stressed).mp4,GreenBook_Stressed,ok,outputs/normalised/GreenBook(Stressed)_norm.mp4,evaluationoutput/video/GreenBook_StressedV21(Post_EvaluationCode)_withUniqueSubtitles.mp4,evaluationoutput/video/GreenBook_StressedV21(Post_EvaluationCode)_withoutUniqueSubtitles.mp4,5,88,5,frustrated:5
Interstellar.mp4,Interstellar,ok,outputs/normalised/Interstellar_norm.mp4,evaluationoutput/video/InterstellarV21(Post_EvaluationCode)_withUniqueSubtitles.mp4,evaluationoutput/video/InterstellarV21(Post_EvaluationCode)_withoutUniqueSubtitles.mp4,20,158,23,sad:20
NBA(interview).mp4,NBA_interview,ok,,evaluationoutput/video/NBA_interviewV21(Post_EvaluationCode)_withUniqueSubtitles.mp4,evaluationoutput/video/NBA_interviewV21(Post_EvaluationCode)_withoutUniqueSubtitles.mp4,44,369,36,"frustrated:38, neutral:6"
Obsession(fear).mp4,Obsession_fear,ok,outputs/normalised/Obsession(fear)_norm.mp4,evaluationoutput/video/Obsession_fearV21(Post_EvaluationCode)_withUniqueSubtitles.mp4,evaluationoutput/video/Obsession_fearV21(Post_EvaluationCode)_withoutUniqueSubtitles.mp4,3,10,1,excited:3
RDR2(sad).mp4,RDR2_sad,ok,,evaluationoutput/video/RDR2_sadV21(Post_EvaluationCode)_withUniqueSubtitles.mp4,evaluationoutput/video/RDR2_sadV21(Post_EvaluationCode)_withoutUniqueSubtitles.mp4,68,332,58,frustrated:68
Tetris.mp4,Tetris,ok,outputs/normalised/Tetris_norm.mp4,evaluationoutput/video/TetrisV21(Post_EvaluationCode)_withUniqueSubtitles.mp4,evaluationoutput/video/TetrisV21(Post_EvaluationCode)_withoutUniqueSubtitles.mp4,35,223,31,frustrated:35
TheMentalist(Threathen).mp4,TheMentalist_Threathen,ok,outputs/normalised/TheMentalist(Threathen)_norm.mp4,evaluationoutput/video/TheMentalist_ThreathenV21(Post_EvaluationCode)_withUniqueSubtitles.mp4,evaluationoutput/video/TheMentalist_ThreathenV21(Post_EvaluationCode)_withoutUniqueSubtitles.mp4,5,114,9,sad:5
TWD(Angry).mp4,TWD_Angry,ok,outputs/normalised/TWD(Angry)_norm.mp4,evaluationoutput/video/TWD_AngryV21(Post_EvaluationCode)_withUniqueSubtitles.mp4,evaluationoutput/video/TWD_AngryV21(Post_EvaluationCode)_withoutUniqueSubtitles.mp4,5,24,4,sad:5
